State,Age_Per100,Income_Per100,Race_Per100,Gender_Per100,Edu_Per100,Combined_Per100
Alabama,37.73,38.1,23.38,38.2,37.35,34.95
Alaska,32.15,33.89,23.73,32.25,32.02,30.81
Arizona,33.2,33.77,25.1,33.25,33.92,31.85
Arkansas,37.63,37.09,23.81,37.45,36.23,34.44
California,27.47,29.63,26.4,28.05,29.48,28.21
Connecticut,30.27,33.64,18.93,30.6,32.67,29.22
District of Columbia,25.82,27.91,11.91,24.25,30.82,24.14
Florida,31.32,32.4,21.83,31.6,32.63,29.96
Georgia,36.8,37.6,21.05,37,37.65,34.02
Hawaii,26.65,26.14,23.64,25.9,27.57,25.98
Idaho,33.23,32.83,18.41,33.2,34.3,30.39
Illinois,32.88,34.36,20.61,33.35,34.82,31.2
Indiana,37.83,37.7,18.75,37.7,38,34
Iowa,37.33,38.81,19.46,37.45,37.18,34.05
Kansas,35.82,36.06,25.14,35.75,35.67,33.69
Louisiana,39.58,39.56,25.79,40.1,40.25,37.06
Maine,33.08,34.14,25.84,33.1,32.9,31.81
Maryland,33.03,34.59,22.74,33.15,34.38,31.58
Massachusetts,26.73,30.26,17.09,27.25,28.52,25.97
Michigan,34.05,35.51,23.13,34.5,34.7,32.38
Minnesota,33.17,34.5,26.96,33.6,35.05,32.66
Mississippi,39.67,39.5,15.96,39.45,38.95,34.71
Missouri,36.23,38.24,24.54,36.45,37.3,34.55
Montana,30.23,29.71,17.75,30.55,29.45,27.54
Nebraska,35.13,35.2,21.77,35.3,34.75,32.43
Nevada,33.47,34.73,20.76,33.6,33.48,31.21
New Hampshire,29.58,33.74,8.78,30.3,31.8,26.84
New Jersey,28.45,31.93,18.52,29.05,30.48,27.69
New Mexico,32.85,32.4,22.81,32.4,32.7,30.63
New York,29.87,30.31,22.81,30.1,31.35,28.89
North Carolina,33.97,34.16,23.59,34.1,34.1,31.98
Ohio,37.92,38.94,25.94,38.1,37.92,35.76
Oregon,30.67,32.2,17.79,30.95,31.05,28.53
Pennsylvania,32.4,34.13,18,33.35,35.47,30.67
Rhode Island,30.77,30.84,19.96,30.85,31.63,28.81
South Carolina,34.95,36.43,22.21,35,35.08,32.73
South Dakota,36.45,35.61,26.32,36.8,35.83,34.2
Tennessee,38.63,39.66,19.05,38.9,38.85,35.02
Texas,35.23,36.17,25.44,35.55,36.2,33.72
Utah,31.35,31.47,19.31,31.1,30.98,28.84
Vermont,26.45,28.07,17.29,26.85,29.4,25.61
Virginia,34.6,36.59,20.1,35.25,36.55,32.62
Washington,31.32,33.17,30.5,31.7,32.8,31.9
West Virginia,41.2,39.8,20.46,41.05,40.4,36.58
Wisconsin,37.53,38.46,29.6,37.65,37.98,36.24
Wyoming,34.22,34.77,14.97,34.3,35.08,30.67
Puerto Rico,35.37,30.14,4.28,34,33.77,27.51
Virgin Islands,24.73,21.89,4.49,32,29.1,22.44
Kentucky,37.4,39.49,15.34,37.7,36.77,33.34
North Dakota,35.7,36.16,22.3,35.3,35.02,32.9
Oklahoma,40.08,40.63,27.81,40,39.55,37.61
Guam,32.22,35.89,20.38,32.6,31.28,30.47
